Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1970","1970","hg/ha","87632","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1971","1971","hg/ha","68929","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1972","1972","hg/ha","82966","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1973","1973","hg/ha","84604","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1974","1974","hg/ha","83734","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1975","1975","hg/ha","84040","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1976","1976","hg/ha","78672","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1977","1977","hg/ha","46620","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1978","1978","hg/ha","68511","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1979","1979","hg/ha","67548","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1980","1980","hg/ha","69648","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1981","1981","hg/ha","70509","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1982","1982","hg/ha","70827","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1983","1983","hg/ha","71799","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1984","1984","hg/ha","71791","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1985","1985","hg/ha","70783","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1986","1986","hg/ha","73619","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1987","1987","hg/ha","73085","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1988","1988","hg/ha","71089","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1989","1989","hg/ha","71344","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1990","1990","hg/ha","70440","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1991","1991","hg/ha","75283","Fc","Calculated data"
