State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Western Equatoria ,Yambio,2010,corn,"37,770","45,324",1.19999947,western equatoria,yambio
Western Equatoria ,Meridi,2011,corn,"15,511","16,132",1.040035845,western equatoria,maridi
Western Equatoria ,Mundri,2011,corn,"2,905","2,556",0.879866442,western equatoria,mundri west
Western Equatoria ,Tombura,2011,corn,"21,317","22,170",1.040014824,western equatoria,tambura
Western Equatoria ,Yambio,2011,corn,"33,156","34,483",1.040022801,western equatoria,yambio
Western Equatoria ,Meridi,2012,corn,"14,787","15,379",1.040034895,western equatoria,maridi
Western Equatoria ,Mundri,2012,corn,"3,158","2,779",0.879991134,western equatoria,mundri west
Western Equatoria ,Tombura,2012,corn,"23,202","24,130",1.03999638,western equatoria,tambura
Western Equatoria ,Yambio,2012,corn,"22,302","23,194",1.039996234,western equatoria,yambio
Western Equatoria ,Meridi,2013,corn,"11,530","11,991",1.039982307,western equatoria,maridi
Western Equatoria ,Mundri,2013,corn,"3,000","2,880",0.960001333,western equatoria,mundri west
Western Equatoria ,Tombura,2013,corn,"21,868","24,492",1.119992135,western equatoria,tambura
Western Equatoria ,Yambio,2013,corn,"22,412","24,205",1.080001428,western equatoria,yambio
Western Equatoria ,Meridi,2014,corn,"20,852","25,022",1.199979858,western equatoria,maridi
Western Equatoria ,Mundri,2014,corn,"7,050","9,588",1.359994894,western equatoria,mundri west
Western Equatoria ,Tombura,2014,corn,"20,696","23,180",1.120022613,western equatoria,tambura
Western Equatoria ,Yambio,2014,corn,"37,770","45,324",1.19999947,western equatoria,yambio
Western Equatoria ,Meridi,2015,corn,"15,511","16,132",1.040035845,western equatoria,maridi
Western Equatoria ,Mundri,2015,corn,"2,905","2,556",0.879866442,western equatoria,mundri west
Western Equatoria ,Tombura,2015,corn,"21,317","22,170",1.040014824,western equatoria,tambura
Western Equatoria ,Yambio,2015,corn,"33,156","34,483",1.040022801,western equatoria,yambio
Western Equatoria ,Meridi,2016,corn,"14,787","15,379",1.040034895,western equatoria,maridi
Western Equatoria ,Mundri,2016,corn,"3,158","2,779",0.879991134,western equatoria,mundri west
Western Equatoria ,Tombura,2016,corn,"23,202","24,130",1.03999638,western equatoria,tambura
Western Equatoria ,Yambio,2016,corn,"22,302","23,194",1.039996234,western equatoria,yambio
Western Equatoria ,Meridi,2017,corn,"11,530","11,991",1.039982307,western equatoria,maridi
Western Equatoria ,Mundri,2017,corn,"3,000","2,880",0.960001333,western equatoria,mundri west
Western Equatoria ,Tombura,2017,corn,"21,868","24,492",1.119992135,western equatoria,tambura
Western Equatoria ,Yambio,2017,corn,"22,412","24,205",1.080001428,western equatoria,yambio
