,STATE,YEAR,AREA,PRODUCTION,YIELD
129,GUJARAT,2002,39075.0,45133.333333333336,1.2266666666666668
130,GUJARAT,2003,41380.0,80120.0,1.7686666666666668
131,GUJARAT,2004,47628.57142857143,83285.71428571429,1.695714285714286
132,GUJARAT,2005,35564.705882352944,70938.23529411765,2.231176470588235
133,GUJARAT,2006,36376.470588235294,62473.529411764706,1.997058823529412
134,GUJARAT,2007,40197.05882352941,80838.23529411765,2.2255882352941176
135,GUJARAT,2008,38151.42857142857,69117.14285714286,2.016857142857143
136,GUJARAT,2009,35064.705882352944,71847.05882352941,2.1773529411764705
137,GUJARAT,2010,43102.94117647059,92097.05882352941,2.216764705882353
138,GUJARAT,2011,43791.42857142857,97117.14285714286,2.311714285714286
141,HARYANA,2000,58571.166666666664,149722.22222222222,2.578888888888889
142,HARYANA,2001,57083.61111111111,151444.44444444444,2.645555555555555
143,HARYANA,2002,53253.41176470588,145176.4705882353,2.641764705882353
144,HARYANA,2003,56399.5,155000.0,2.7333333333333334
145,HARYANA,2004,56902.0,167222.22222222222,2.832777777777778
146,HARYANA,2005,55083.57894736842,168105.26315789475,2.9405263157894734
147,HARYANA,2006,57483.055555555555,185722.22222222222,2.96
148,HARYANA,2007,56449.73684210526,189789.47368421053,3.1915789473684213
149,HARYANA,2008,60557.45,164950.0,2.569
150,HARYANA,2009,60320.1,181400.0,2.8075
151,HARYANA,2010,62162.8,173250.0,2.6895
152,HARYANA,2011,61630.15789473684,187052.63157894736,2.8905263157894736
153,HARYANA,2012,60312.75,197050.0,3.041
156,HIMACHAL PRADESH,2000,7410.818181818182,11353.90909090909,1.55
157,HIMACHAL PRADESH,2001,7325.363636363636,12492.545454545454,1.6545454545454545
158,HIMACHAL PRADESH,2002,5122.0,5711.333333333333,1.1688888888888889
159,HIMACHAL PRADESH,2003,7394.090909090909,10965.818181818182,1.469090909090909
160,HIMACHAL PRADESH,2004,7229.0,9920.818181818182,1.4545454545454546
161,HIMACHAL PRADESH,2005,7215.090909090909,10194.454545454546,1.3963636363636363
162,HIMACHAL PRADESH,2006,7200.545454545455,11225.90909090909,1.7509090909090907
163,HIMACHAL PRADESH,2007,7142.818181818182,11041.181818181818,1.6863636363636365
164,HIMACHAL PRADESH,2008,7064.454545454545,10752.454545454546,1.6
166,JAMMU & KASHMIR,2000,21295.454545454544,36423.545454545456,1.6090909090909091
167,JAMMU & KASHMIR,2001,20819.166666666668,35191.5,1.6341666666666665
168,JAMMU & KASHMIR,2002,19683.25,35121.416666666664,1.7083333333333333
169,JAMMU & KASHMIR,2003,23251.363636363636,45212.90909090909,1.8736363636363635
170,JAMMU & KASHMIR,2004,20837.0,41061.0,1.8383333333333332
171,JAMMU & KASHMIR,2007,17634.75,36655.666666666664,1.985
172,JHARKHAND,2002,48170.65853658537,48185.70731707317,0.9502439024390245
173,JHARKHAND,2003,74592.03846153847,69969.65384615384,0.8830769230769231
174,JHARKHAND,2004,40573.153846153844,36112.71153846154,0.8200000000000001
175,JHARKHAND,2005,39920.8,22725.26,0.5504
176,JHARKHAND,2006,35825.78125,39745.109375,1.0728125
177,JHARKHAND,2007,36573.27419354839,44252.645161290326,1.1348387096774193
180,KARNATAKA,2000,33362.87356321839,87211.4367816092,2.4482758620689653
181,KARNATAKA,2001,31158.516483516483,71077.45054945054,2.186263736263736
182,KARNATAKA,2002,25103.728260869564,51958.05434782609,2.1365217391304347
183,KARNATAKA,2003,25612.12048192771,60705.79518072289,2.6432530120481927
184,KARNATAKA,2004,30796.46835443038,83878.11392405063,2.940886075949367
185,KARNATAKA,2005,31266.968421052632,84194.65263157895,2.6293684210526314
186,KARNATAKA,2006,30339.510869565216,79246.88043478261,2.4633695652173913
187,KARNATAKA,2007,29201.484536082473,79760.60824742269,2.5937113402061858
188,KARNATAKA,2008,32498.62365591398,86648.47311827957,2.590537634408602
189,KARNATAKA,2009,31911.36559139785,83303.49462365592,2.543010752688172
192,KERALA,2000,17372.65,37566.3,2.1755
193,KERALA,2001,11843.636363636364,25848.581818181818,2.109272727272727
194,KERALA,2002,11291.672727272728,25049.418181818182,2.167818181818182
195,KERALA,2003,10841.188679245282,21509.20754716981,2.0550943396226415
196,KERALA,2004,10739.777777777777,24707.59259259259,2.239074074074074
197,KERALA,2005,10026.981818181817,22908.618181818183,2.2156363636363636
198,KERALA,2006,9582.872727272726,23330.0,2.354909090909091
199,KERALA,2007,8325.018181818183,19217.745454545453,2.2285454545454546
200,KERALA,2008,8674.296296296296,21859.24074074074,2.3738888888888887
201,KERALA,2009,8509.563636363637,21757.78181818182,2.3305454545454545
202,KERALA,2010,7752.254545454545,19008.654545454545,2.3074545454545454
203,KERALA,2011,7699.851851851852,21051.444444444445,2.492962962962963
206,MADHYA PRADESH,2000,43736.05882352941,31447.141304347828,0.757311131326087
207,MADHYA PRADESH,2001,42515.54285714286,45967.515789473684,0.9980903562842105
208,MADHYA PRADESH,2002,44046.76470588235,30443.32608695652,0.7092555356195652
209,MADHYA PRADESH,2003,44160.14705882353,43208.45918367347,1.091766190367347
210,MADHYA PRADESH,2004,41371.666666666664,32984.32323232323,0.8698645672626262
211,MADHYA PRADESH,2005,45783.34375,42133.458333333336,1.0013643590520833
212,MADHYA PRADESH,2006,46618.78125,47518.5,1.0071875
213,MADHYA PRADESH,2007,540.7,10931.717391304348,1.08964178925
214,MADHYA PRADESH,2008,46896.4375,39445.37234042553,1.0146372176170213
215,MADHYA PRADESH,2009,48354.53333333333,44585.11475409836,1.0298360655737704
216,MADHYA PRADESH,2010,55060.03703703704,61333.107142857145,1.2685714285714287
217,MADHYA PRADESH,2011,437.5,37527.653846153844,1.4676923076923079
218,MADHYA PRADESH,2012,157.5,45187.68,1.3884
219,MADHYA PRADESH,2013,769.0,41793.92,1.1952
222,MAHARASHTRA,2000,50410.416666666664,69992.1568627451,1.2868627450980392
223,MAHARASHTRA,2001,51372.34042553192,98268.0,1.6059999999999999
224,MAHARASHTRA,2002,50985.10638297872,68152.0,1.2804
225,MAHARASHTRA,2003,52582.97872340425,106626.0,1.62
226,MAHARASHTRA,2004,51736.17021276596,79360.0,1.4312
227,MAHARASHTRA,2005,54424.444444444445,104495.83333333333,1.5783333333333334
228,MAHARASHTRA,2006,54250.0,98779.59183673469,1.5369387755102042
229,MAHARASHTRA,2007,550.16,1115.1538461538462,1.4549999999999998
230,MAHARASHTRA,2008,52365.38461538462,82748.51851851853,1.1374074074074074
231,MAHARASHTRA,2009,48666.666666666664,76325.5,1.1103571428571428
232,MAHARASHTRA,2010,56258.333333333336,104996.0,1.3112000000000001
235,MANIPUR,2000,17432.222222222223,42416.666666666664,2.26
236,MANIPUR,2001,18063.333333333332,43030.0,2.2344444444444442
237,MANIPUR,2002,17012.222222222223,37300.0,2.0344444444444445
238,MANIPUR,2003,17536.666666666668,42360.0,2.3055555555555554
239,MANIPUR,2005,18473.333333333332,42896.666666666664,2.238888888888889
240,MANIPUR,2006,18374.444444444445,43241.11111111111,2.2766666666666664
241,MANIPUR,2007,18461.11111111111,45127.77777777778,2.378888888888889
244,MEGHALAYA,2000,10665.35,17903.5,1.7429999999999999
245,MEGHALAYA,2001,15394.42857142857,26995.85714285714,1.7514285714285713
246,MEGHALAYA,2002,15391.714285714286,27276.714285714286,1.7671428571428573
247,MEGHALAYA,2003,15674.42857142857,28671.85714285714,1.7985714285714285
248,MEGHALAYA,2004,15935.142857142857,27674.14285714286,1.717142857142857
249,MEGHALAYA,2005,8484.56,16660.72,1.9003999999999999
250,MEGHALAYA,2006,8020.846153846154,15399.384615384615,1.8476923076923077
251,MEGHALAYA,2007,8176.961538461538,15388.192307692309,1.781923076923077
252,MEGHALAYA,2008,7717.5,14561.57142857143,1.8167857142857142
253,MEGHALAYA,2009,7725.857142857143,14580.642857142857,1.825
254,MEGHALAYA,2010,7734.642857142857,14787.214285714286,1.8125
255,MEGHALAYA,2011,7776.785714285715,15909.357142857143,1.8407142857142857
258,MIZORAM,2000,10367.8,20734.6,1.9259999999999997
259,MIZORAM,2001,11176.0,21142.6,1.8059999999999998
260,MIZORAM,2002,11413.4,21841.0,1.8539999999999999
261,MIZORAM,2003,9866.0,19105.0,1.925
262,MIZORAM,2005,7057.5,13467.5,1.9425
263,MIZORAM,2006,5207.875,3148.3125,0.785625
264,MIZORAM,2007,5152.388888888889,1491.2777777777778,0.5411111111111111
265,MIZORAM,2008,5386.916666666667,6728.416666666667,1.3791666666666667
