State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Eastern Equatoria ,Kapoeta East ,2017,corn,"10,764","6,028",0.560018952,eastern equatoria,kapoeta east
Eastern Equatoria ,Kapoeta North ,2017,corn,"6,540","4,186",0.640066666,eastern equatoria,kapoeta north
Eastern Equatoria ,Kapoeta South ,2017,corn,"3,842","1,844",0.47997189,eastern equatoria,kapoeta south
Eastern Equatoria ,Lafon ,2017,corn,"12,334","10,854",0.880007459,eastern equatoria,lafon
Eastern Equatoria ,Magwi ,2017,corn,"20,844","25,013",1.200008636,eastern equatoria,magwi
Eastern Equatoria ,Torit ,2017,corn,"16,820","12,110",0.719977884,eastern equatoria,torit
Jonglei ,Akobo ,2010,corn,"3,949","2,212",0.560152946,jonglei,akobo
Jonglei ,Ayod ,2010,corn,938,525,0.559701539,jonglei,ayod
Jonglei ,Bor South ,2010,corn,"2,208","1,589",0.719668493,jonglei,bor south
Jonglei ,Canal/Pigi ,2010,corn,"2,157","1,208",0.560057485,jonglei,canalpigi
Jonglei ,Duk ,2010,corn,0,0,1,jonglei,duk
Jonglei ,Fangak ,2010,corn,"2,586","1,448",0.559955145,jonglei,fangak
Jonglei ,Nyirol ,2010,corn,"3,795","2,429",0.640062185,jonglei,nyirol
Jonglei ,Pibor ,2010,corn,"6,050","6,292",1.039999339,jonglei,pibor
Jonglei ,Pochalla ,2010,corn,"5,007","5,207",1.039943281,jonglei,pochalla
Jonglei ,Twic East ,2010,corn,"1,389",667,480.1670866,jonglei,twic east
Jonglei ,Uror ,2010,corn,"3,188","1,530",0.479941031,jonglei,uror
Jonglei ,Akobo ,2011,corn,"6,834","5,467",0.799973661,jonglei,akobo
Jonglei ,Ayod ,2011,corn,966,541,0.560041453,jonglei,ayod
Jonglei ,Bor South ,2011,corn,"4,263","2,729",0.640167953,jonglei,bor south
Jonglei ,Canal/Pigi ,2011,corn,"2,222","1,120",0.504072724,jonglei,canalpigi
Jonglei ,Duk ,2011,corn,0,0,1,jonglei,duk
Jonglei ,Fangak ,2011,corn,0,0,1,jonglei,fangak
Jonglei ,Nyirol ,2011,corn,"3,909","2,502",0.640070604,jonglei,nyirol
Jonglei ,Pibor ,2011,corn,"8,226","7,239",0.880016046,jonglei,pibor
Jonglei ,Pochalla ,2011,corn,"5,894","4,715",0.799969461,jonglei,pochalla
Jonglei ,Twic East ,2011,corn,"6,523","2,609",0.399978538,jonglei,twic east
Jonglei ,Uror ,2011,corn,"7,662","4,904",0.640046462,jonglei,uror
Jonglei ,Akobo ,2012,corn,"5,247","4,198",0.800080044,jonglei,akobo
Jonglei ,Ayod ,2012,corn,"1,029",576,559.7124672,jonglei,ayod
Jonglei ,Bor South ,2012,corn,"6,534","4,182",0.64004224,jonglei,bor south
Jonglei ,Canal/Pigi ,2012,corn,"1,506",759,503.9506673,jonglei,canalpigi
Jonglei ,Duk ,2012,corn,"2,444","1,369",0.560165296,jonglei,duk
Jonglei ,Fangak ,2012,corn,"1,321",740,560.1393536,jonglei,fangak
Jonglei ,Nyirol ,2012,corn,"3,688","2,360",0.639922996,jonglei,nyirol
Jonglei ,Pibor ,2012,corn,"7,849","5,652",0.720095298,jonglei,pibor
Jonglei ,Pochalla ,2012,corn,"6,625","5,300",0.800003019,jonglei,pochalla
Jonglei ,Twic East ,2012,corn,"6,835","3,828",0.560064959,jonglei,twic east
Jonglei ,Uror ,2012,corn,"10,548","5,485",0.520008343,jonglei,uror
Jonglei ,Akobo ,2013,corn,"5,615","4,492",0.800003562,jonglei,akobo
Jonglei ,Ayod ,2013,corn,"1,008",565,560.460371,jonglei,ayod
Jonglei ,Bor South ,2013,corn,"8,567","5,825",0.679938369,jonglei,bor south
Jonglei ,Canal/Pigi ,2013,corn,"1,214",612,504.0771765,jonglei,canalpigi
Jonglei ,Duk ,2013,corn,"2,212","1,239",0.560146467,jonglei,duk
Jonglei ,Fangak ,2013,corn,"2,336","1,308",0.559950345,jonglei,fangak
Jonglei ,Nyirol ,2013,corn,"4,168","2,667",0.63988388,jonglei,nyirol
Jonglei ,Pibor ,2013,corn,"7,964","6,371",0.799977399,jonglei,pibor
Jonglei ,Pochalla ,2013,corn,"5,994","5,275",0.880048715,jonglei,pochalla
Jonglei ,Twic East ,2013,corn,"6,287","3,521",0.560051534,jonglei,twic east
Jonglei ,Uror ,2013,corn,"9,034","4,698",0.520040735,jonglei,uror
Jonglei ,Akobo ,2014,corn,"3,949","2,212",0.560152946,jonglei,akobo
Jonglei ,Ayod ,2014,corn,938,525,0.559701539,jonglei,ayod
